BenchmarkName,LoC,Trace Length,#Loads,#Stores,#Threads,#PM Vars
CCEH,551,26072,0,0,2,0
fastFair,1095,2689,0,0,2,0
motivatingExample,28,17,0,0,2,0
list,31,806,0,0,2,0
dqueue,202,971,0,0,2,0
queue_1,58,555,0,0,2,0
heap,210,1158,0,0,2,0
queue,173,1524,0,0,2,0
list_1,286,597,0,0,2,0
hash,261,888,0,0,2,0
priorityQueue,190,1281,0,0,2,0
doublyList,201,1931,0,0,2,0
skipLists,235,2801,0,0,2,0
graph,176,1468,0,0,2,0
set,169,2479,0,0,2,0
stack_1,174,318,0,0,2,0
array,287,67,0,0,2,0
stack,111,456,0,0,2,0
queue_2,72,625,0,0,2,0
